sentiment,content
neutral,tweet didnt send bad phone
fun,omg ur alive lol 2day gone sooo slow im going insane grrr doing tonight
neutral,watching parental control
fun,did california vintage ahahah best dresses want dont ebay
sadness,just saw pics past thanksgiving sad grandma
worry,wont let
sadness,took shift tomorrow dont really feel like working right
sadness,money phone
worry,spent night aampe er wife tangled wheels daughter amp hit deck dislocation amp fracture resulted
worry,9 days im ready visit torchwood theyve heard
surprise,bris hear thunder
surprise,bec vs fat food winner fat food weeknend ill beat
sadness,bad red devils disappointing say
surprise,dream pretty pretty beach beach woke
sadness,3ware 9650se fast 3x x25m ssd raid5 800mhz iop hpt try adaptec 5405 12ghz
surprise,da heck garage man ask
worry,ate mandy forgive really sorry dont wanna lose bff
hate,umm yeah thats probably pretty good note self eeeeeewwwwwwww
worry,plane tickets expensive
fun,umm yeah thats probably pretty good note self eeeeeewwwwwwww
worry,needs job badly
sadness,daaammmnnnnn wish
worry,went di bella coffee roasters today asked job person needed speak holiday fb
sadness,played parts voodoo village coop lost usual partner
sadness,bad friend
neutral,happy birthdayyy hope awesome day didnt night
hate,im doing shit right im vacation got workin
neutral,ill oir
neutral,guess girlie im gym work 630am
hate,wish severe migrains stop docs prescriptions arent working
love,missed game
sadness,internet night er brill massive explosion end nearby gas works er standby
hate,cuz airlines super lame
sadness,pity comes lamb
sadness,im sorry hear optimist things better
relief,painting bedroom furniture table wait uggh moving heat
hate,im tiredand insomnia
neutral,hungry fool ill probably krispy kreme enjoy closing
neutral,airport didnt tonight homo
hate,hate bakersfield hate ports let home want start vacation
neutral,
neutral,looking desktop twitter app actually let access urls suggestions liked twittle linking
worry,people house know close doors
surprise,completing facebook quizzes time morning especially friday morning
neutral,amp soooo hungry
worry,dont like possibility left brain hurting thing called vp shunt possible death
sadness,cancel wow
worry,wants make music profile dont money dont know write music dont know play instrument studio
sadness,yeahim sad quotravenclawquot account love account bits
worry,115 hear helicopter flying house thats kind weird news headache booooo
worry,oh lt3
neutral,school ms suhanas day ft ocu okay im playing altnoy
neutral,poll trying work powerpoint avail
happiness,took math test today day test teacher says bring calculator luke confident teacher decided calcs
happiness,omg concert awesome madrigals gave chills piecebrooks called alumni didnt
neutral,yeah terrible cockatoos hardest live emotional good thing
sadness,late nothin 2
worry,think vog making sicker think feeling slightly achy
worry,doing homework sux big time maths worst
neutral,better imo let play 3 songs provided just start quotget itquot blacks
neutral,3wordsaftersex started
sadness,wish things way beginning summer
worry,downloaded new twitterfon update thinking fixing typing problem new tweets didnt
sadness,feel way guess matter memes
happiness,30 minutes treadmill 30 minutes today gonna 20 minutes
worry,im sooooooooooooo confused
neutral,friends like vaikonedumaran ltte didnt need enemies wrong advice wrong time led numerous deaths amp lost cause
worry,work day 7 7
happiness,chillin roomies wait zombie clwn cr gonna 68 weeks
neutral,looove guitars playing think sound magnificent better
worry,refunds retrieve accounts takes like week just hoping thief doesnt use hacks permaban
neutral,im cries lol
sadness,cute malay girl came seemy room rent sadly think guyfreind bit misleading disappointing lol
surprise,epicentre wheelock place 250 units amp tourists starting today
hate,hate new mt dew commercialthe giant mosquitoit scares grosses time
neutral,come knight 4 hours
worry,super keen drive home rain additional concentration required dont really wanna deal
surprise,aw u let secret
surprise,im sorry dont think stick compared used look like
worry,transport church wont making im crushed oh time assignments suppose throat really hurts
hate,hate pregnant women smokinggg sooo irresponsible n selfish saaad ultimately baby suffers
hate,liesliesliesyou just avoid lie practicallyeverything
neutral,twittascope rocking socks away
neutral,driving home forgot piece cake
worry,tried jumping trampoline like thud thud shouldnt eaten cookie
sadness,everytime send email coach feel need practice shitty balls lol
sadness,pissing letting follow ericka
sadness,going sleep peaceful wanted hear say good night didnt happen good night
sadness,mums trying make feel ebtter stopping voting adn winning shortstack cried
neutral,close tacosone spot late
surprise,thinking im work
worry,forgot live jonas brothers facebook
sadness,havent seen muffin days
sadness,ill miss yall regards
surprise,gap year going quick
worry,admit im bit bummed wasnt friends walking today
neutral,girl blunt soooooooo thoughts right absolutly great day stressorscome home
worry,twitter hacked
sadness,just mj mouse flats djs course left size
neutral,wont time buy need new binder pa
hate,hahaha try ugly
neutral,25man ulduar hard
worry,dont want know know vhemt dont wed miss
fun,thats awesome weekend im moving sat lot fun
neutral,night night twitter world believe thomas thing tomorrows gunna funsad
neutral,happening
surprise,oh hugs
neutral,bored talking theyre busy just kinda bummer idk
sadness,knoww things wont samee lt3
worry,omgness 1118 pm need beup early set garage sale starts 8am wish said 9am im beat
happiness,kno doooo yall partyin
worry,okay twitter suddenly changed respond messages
neutral,ugh dad just told read article kavya shivashankar spellin bee girland like
worry,decided matter good hair looks curly doesnt justify burn curler hands covered suck
sadness,going sleep gonna fall asleep playing apps tmrw going suck
neutral,yea gotta 730
hate,hate bf beats da dogs guess way teach pitts
worry,sprained ankle like really badly tore stuffs hurts birthday weekend
sadness,believe metal gear solid song stolen im disappointed
hate,think broke toe bar tonightthanks drunk girl steppin
neutral,sale today work explored balconies big theater w coworkers fun day void chili fries tips
sadness,wish left 4 dead id need play
neutral,
neutral,story reminds living portugal
neutral,youre diabetic dad amp sure allowed eat sugar day
happiness,spilled beer leg wasted half beer home met cute girl good conversation
hate,roommate loves ignore
neutral,ill make nachos tomorrow better
neutral,yeahhh ampdont judge pillow
relief,scary lightning thunder im glad going sleep hope im late school tomorow haha
sadness,teeth head hurts
sadness,hate rob zombie movies amp smell weed vommmm
hate,maths science strongest thinkdunno bout geography did like 1 day study 12 year work
worry,hope job cuz need apartment im drunk amp miss lil punkin tehe
worry,just got home wanting read chaper breaking dawn cause dont want beover
worry,need held gnite
worry,hanging sam billy veronica going school tomorrow sam body shops dang car accidents
sadness,arrested development sad
neutral,wicked time leaving come stay night
sadness,omg losing followers sad want 90 daythats goal d
sadness,feel deflated doggy
worry,wanna hair hows
sadness,just trash mac difficult things life 8000 pictures gone
sadness,im contacting paws philippines quottigerquot new owner im sad love dog soo
sadness,just got home wanting read chaper breaking dawn cause dont want
worry,aww pray arroyo family
neutral,theres manual process taking 4ever outlook database pffff crappy msft product
sadness,fuuudge movie store closed
sadness,alo sad quiet tonight
hate,hahahaha horrible singing im sure work wish afford drum set
worry,answered dm sent need info
worry,trying pilot season friday night lights oh gosh pass tissue
sadness,aw headed just cancelled trip aussie
worry,cystic lacrimal infectection eye face swollen hurts
worry,didnt think caught
neutral,oh nevermind think thing unsalvageable
neutral,lyin bed faaaaar early
sadness,sad christian lacroix file bankruptcy
sadness,dont feel good fuckkk
worry,looks like ill zoo
worry,ohh poor girl ill email relying october mr
neutral,medhurst play
worry,bad times
hate,aarrgghh fuka hose leaked water new floating floor
sadness,dreaded dmv tomorrow
neutral,im bit bens thaied
happiness,english class working interactive orals
worry,thank rec doesnt work
neutral,im sorry excited tomorrow night karaoke getting special bday
worry,puppy gizmo h8s haha growls look long pruple scar fingie
worry,dont know ima work tomorrow wit body dis sore ugh
neutral,711 wo
neutral,yeah plus just little far walk pinocchios sushi
worry,im feeling pressure head kicks just nasty headache im looking forward
sadness,taylor swift joe jonas looked really good im kinda sad broke
worry,im suppose turn sentence outline research paper hour online neck hurts
worry,lady way miscarriage say prayer
sadness,god just want sleep
hate,ohhhh thunderstormsboo make power
worry,feel deflated doggy
sadness,book starting real paperbound journal tonight annoying zit lip makes look like herpes
hate,ratt rocked nashville toniteone thing sucked encore like 80s fun pearcy hott bad boy look
worry,feeling bad just got bad news mum
sadness,dun wanna
sadness,damn girl im ya gotta let know kit amp got flyer weekend iquotm
sadness,dbl booooooo sick flippin blows bahaha kno dont friends feel lame haha
neutral,thats thinking time gonna 1
neutral,peeps fun times gotta sleep tho work cool hot chicks cool ____________ missing
worry,dont feel like working think tweet
sadness,feels sick stomach idkk whyy
worry,vinerinimic special sau probabil alt weekend pierdut
neutral,counting hours lost sunshine weekend
surprise,dude just saw sf pics looks like mini excursion pretty kick ass didnt sun tho
relief,home safely hungry
sadness,um thrown s van yesterday taken er
worry,got final table butwent dont think ill getting free seat
neutral,good morning work morning gutted lol nevermind
hate,work morning friends party upstupid bberry lite flashing red messages
happiness,fb boring wanna sing right
sadness,link doesnt work
neutral,hahaha dont know powers lol live bubble
worry,humpalow um ya think cell dying
worry,day worksick bone
worry,feel like im house arrest
neutral,love like wareasy begin hard endfiuuhh
surprise,ur supposed bk tho
worry,did know shortage shells crabs use beach beach combers sad
surprise,oh nighty night
happiness,new music wont sleep chapter 1 die hurry
sadness,stupid tooooth hurts
love,love song quottogetherquot thats quothisquot song mewell think
neutral,ready school
sadness,computers broken broke laptop use phone ahh cause fucked order
neutral,good isnt holiday chalet sight look v similar ones going home today
worry,sad economy just heard friend losing job sad just reminder
worry,im just starting feel really panicky anxious bad happened cos like ages
worry,dog ran awayyy
hate,suck bad
worry,im molar extracted swollen face numb toothache sinus pain
relief,just finished 8 hours texas life insurance ce tonight 22 hours
worry,does know good rap songs need make rapfun cd idea helllllpppp
love,want peru summer ahhhhhhh hopefully yesyesyes miss
sadness,im awake anybody awake wish lived fun happens im asleep
hate,charles power lol damn savemart lost power buy beer
sadness,heehee love tired
worry,mobile phone refuses charge battery broken chargerrr booooo
worry,oh wish sign send let meet
worry,hmmm thought u sleeping bad videos tomorrow night
sadness,morning sorry going early night bad news felt totally crap today new day
sadness,wish parents chinese school younger itll easier job
relief,yeah physically moving apparently reporting directly mr hayward
neutral,airport didnt tonight homo
worry,jealous looks like schindlers list toronto
neutral,come erock just left bah d
sadness,room makes sad
worry,nearly fell asleep jolted bed massive panic attack im sure sleep
neutral,gays 200 tonight
sadness,oh fck completely forgot thirsty thursday oh gaga sucks
sadness,people did wrong world blames people great world living shit
surprise,nope sleeping cuz live east coast
neutral,bet cool sr huh havent stopped sweating noon dad packing
sadness,eww dislike
worry,tactical mistake going city library buying milk knew ouch ouch ouch maybe good thing didnt try uni
neutral,decided 2 trans frm relaxed 2 natural hair wish head looked like roots age instant gratification
sadness,sorry bout cat
neutral,needs increase salary
worry,stomach feels like touching groundim
love,pug just woke incredible sleep
love,wait hear new album im sure amazingplease just replay love
worry,sooo work little time
sadness,missed iron chef
sadness,ds version sucks
sadness,bad day
hate,hates net ayaw bumukas ng twitter
worry,ugh internet
surprise,omg didnt tweet today sadness
worry,feeling giddy wanna home
neutral,week just wasnt adam lambert performance
neutral,link doesnt work
worry,packing day youth camp
neutral,gossip girl coming chaceeeeeee
neutral,smh hiphop nursery rhymes
worry,somebody save polar bears
happiness,noooooooooooo just look lot pictures lol lol
surprise,really sleepy bored right word work
worry,come attention 16yo friend ive recently gained ton weight didnt know
worry,guess im staying home tonightno movieing
sadness,went cd store search cd
worry,reminds weather month ago horrible hope hugs
sadness,miss mom quotmay angels lead inquot
love,theres really android twitter app tweeties calibre
hate,jacksonville beach walking cold ass water work morning ily ltgt
neutral,
sadness,feel way day
sadness,sleep sucks day sleep shopping mom ugh
neutral,just got home till tmw 530p comcast right didnt miss
sadness,sleppytime really missing godfather right love wayne
sadness,headache right sucks
worry,hope ya sleepin guys
fun,finished im color drawing come
sadness,lakers baby lakers ill miss game tmwr work youll posted
sadness,comfort food day pan mee didnt taste good
worry,damn drunk hot sucks
sadness,misses baby
worry,sleeping paperwork
worry,showered icecold water sweating means thing im sick
worry,midnight wish person wanted wanted right
neutral,ima need follow real quick cause dm
sadness,im poorly sleep
worry,went pole class feeling discouraged hopeless cones dancing sexy moves spreading legs
worry,poor unfortunate souls dont appear pants
worry,told wash hair speak
worry,looks like sleepless night dedicated homework sorry advance ms chapman
worry,u lot mock
worry,didnt say goodnight
hate,pussy damnit sending email right btw
sadness,work tom
neutral,hongkong international airport wait 34 hours flight cebu
neutral,sleep nothings tv
love,pics just uploaded baby pics cats missy adult pretty little kitty batty kitten heaven
neutral,oh youve superseeded good
sadness,today say goodbye second good friend week dmp sun shinning im definately working pm
worry,met stranger just 10 min ago stalking store
surprise,tee beefinwhat u supposed leavin
sadness,things say hurt ones love unintentionally fix
sadness,sucks
neutral,iiii know mean
sadness,having fever dont feel work
worry,taking horse pills hoping sleep tonight
neutral,pgpm student pgpm student 4 years wish stay
sadness,missing 6 days pass quick
hate,hey thats school hate place
sadness,working home today killing doctor physio later today
neutral,work distractions
happiness,demi just say hi just replay love
neutral,awwww noticed
neutral,sucks state starts tomorrow im headin 2 bed nitey nite
worry,looks like going nice work today annoying choice
neutral,did guys set list forgot ask xx
neutral,impression silverlight sadly based saw today quite problematic
worry,desperatly hoping dad takes vanessas game
worry,hi fuck job
sadness,missing deeply
neutral,time bed work
happiness,big vanessa going 3 september going fast hard cuz im workin miss alot
sadness,sniff sniff care ravels hopefully chatting soon mean time ill hella miss
neutral,lucky want teleport
worry,somebody save polar bears
worry,nose runny head pounding teeth hurt like bitch man feel awful
sadness,dont want leave
relief,headin homerefreshed mind soul justa lil bitbac reality
happiness,good lord just seen agency work upcoming open day money jam
worry,grove drag hell hope doesnt suck
worry,feel like shit saying happy belated birfdayy im month late
sadness,lmaothats sad kinda discourages 4rom goin shits wack
surprise,got home work 945 just finished cleaning need eat dinner dont know want ughoh eat
sadness,wish
sadness,miss little batty 3 months old got sick fun life lt3 end
neutral,fc finally time hate keeps happening
neutral,seriously bored talk tired sleep
sadness,morning hate mornings offensive
neutral,computer break omg
sadness,bed bed bed answer texts anymore thought day sent heard sad day
neutral,u
sadness,waah longer peeps
sadness,lol wow dawg doesnt sound like youre playing feel bad haha
surprise,extremly deep
happiness,little foster kittens getting bigchubba winston going 2 b missed amazing homes
neutral,im home cats right
worry,hoping didnt fail english just sad
worry,know great shoulder stop hurting sleep normal just wantneed solid hours good sleep
neutral,lenos tonight like better conan
sadness,im sorry bad driving experiences
neutral,dont
sadness,misses
hate,plan changes nooooooo
hate,sister douchebag
surprise,theres relisting fees dont complete sale sucks
neutral,random
worry,knew shouldve worn sars mask plane socal feeling beginnings sore throat
sadness,gutted bathroom isnt free early work isnt going happen need loo
neutral,july long
worry,awww wish im stuck jab eyes knitting needles
surprise,wonder mnet
neutral,wearing glasses gives headache
worry,finished sewing night uploading pictures slidebar beach believe having difficulties twitter
sadness,thank wait ummm btw ima crash sick
sadness,work computer home laptop fucked
worry,liesgirlstell guy calls phone number real ohh phone isnt working try tomorrow
worry,beer friday melbourne cbd mtub mini cmon thirsty lonely buggers making feel like scotty mates
worry,know came 22 1st just lose lead 6 minutes
worry,gosh summer vacation philippines kinda sad wonder section
neutral,page 6 ms twitterworld 26 votes
worry,im bummed wear sweet nike kicks work
worry,twitter broken
neutral,sleepgood night tweeties oc tomorrow hope pray rachyl gets better soon
sadness,depressing im stuck inside day
worry,saw news feeds archie website believe hed choose veronica im disappointed
sadness,hate sick miss
neutral,im eating sliders barjohnnys theyre pork tho beef search
happiness,getting ready school second maths test today day 3rd year week officially 4th year
sadness,woke upi wanna stay bed
worry,depressed wasnt included morcom gardens quiz facebook
worry,yeah totally high 60s soooo notlooking forward aug sept
sadness,upsidedown tomato plants died
worry,oh come week week exams
neutral,friday fun skint
worry,know dont tell dont know dad told famz think im taking online
sadness,caant iht earlier icant wait long ahar
happiness,friday yay bonus dont drive wales tonight athough miss kitten cuddles going ride
worry,children promised birthday brekkie bed theres problem theres bugger food house
worry,woops just realized dms going
neutral,dont think able bed tomorrow morning seeeee
surprise,use blackberry today sucks
neutral,times changing
sadness,hate
hate,time tv bedthen spending day catching studying hate online summer classes
neutral,video available foreigners
sadness,wanted visit animals late
worry,pc agree problem stop spending work
sadness,jonaswebcast just missed
hate,dang really look like crap sigh 35mins shower 10mins ready
neutral,waiting picked
sadness,exhaustedcant sleep dont like nights
sadness,im gonna miss live comet action tomorrow care cousins dont access interwebz
surprise,lol drink
surprise,compton wii twitter
sadness,sorry hear
worry,morning sports day today threelegged race mr pettigrew said im aloud trip
sadness,just drink bar booo missing e1 palominos cheers sad face
worry,sleep 2 hours tossing turning
worry,omg going die swine flu melbourne
neutral,dang certain okay
neutral,wishes dave gilmour roger waters reunite pink floyd concert
sadness,finished box ice cream
neutral,1 horse town 2 blown car speakers
neutral,make cofffeeeeeee
worry,plus just deposited tax return cheque time 7 years didnt clear immediately
love,photo martwo omg love accadentally deleted photo yay hes beautiful
worry,knooww amp hot water bottle iss whangamata ahhhhh
neutral,nose stuffy
neutral,night newport
relief,thanks rt sorry new place domestics
happiness,ok shoe club cool fun poppin 4 ppl tryna dance wit
worry,holy crap raining la dont jacket oh
neutral,aright twitter fam guess ima outties gonna try n sleep horrible pain
neutral,baby recieving vaccines
worry,wish attend e3 year small events like nba stanley cup finals getting way work work work
happiness,lol hi emmy latin help study aptitude tests grad school thats wanna
sadness,btw wimp
relief,lol yeah yeah big perv hoping week scrapped plans
worry,rejecting food substances
worry,trying interview dr paul twomey ceo icann phone issues cut interview 30 mins 15
sadness,add myspace girly asks email
hate,vienna sooo tired luggage lost manchester d great good outcome seminar mbs amp great people
worry,dont think needle watched horribly gory short film drugs months ago im scarred life
sadness,dont wanna work sleepy time
worry,feels good
neutral,watching biggest loser hallmark fails make nyeh
neutral,sucks old actually
worry,thinking getting work
neutral,confuse
worry,naughty girl tonight dissappointed
worry,thats better missy 8 telling biggest loser
sadness,noooo goes orlando omg im gonna
surprise,aaaaaahhhhhhhh soooooooo sweeeeeeet miss age soooo
surprise,just saw fox getting freeway hope goes home
neutral,scratch sleep stage bound
surprise,recapping britains got talent britain talented america
neutral,cnt goin ur old messages gtgtgtgt helpltltltlt
love,good time rocking open mic thanks 4 love n support working business plan presentation cg 2nite
neutral,swimming
sadness,morning john yes diary clash sadly attend
sadness,miss friend
neutral,ohh ic ic haha iyaa summer filled course lasts summer
sadness,yea just saw really sad commercial
sadness,hmmm using tinytwitter small nontouch screen really fun
fun,lettuce amp spinach does best cool weather live floridanot luck growing
neutral,
love,oh love em think kind preservatives theyre using stay quotjustbakedquot kinda makes sick
neutral,unfortunately
worry,new lens isnt working worked bit gives fee error
sadness,hates having sleep
neutral,
worry,school weekend oh wait gotta work tonight
sadness,loved johnny carson im going hate seeing jay leno
sadness,wanted newish song teacher agreed s old grumpy doesnt like happy haha
worry,doing english essay rampjwtf long time ago assigned thursday
worry,think
sadness,ya suffering day yesterday met dentist feel bit better look like rocky balboa
worry,didnt end really eating snacks sigh
surprise,finallythe internet server phoenix fucked
neutral,ups ketauan cabut nih gimana dong
worry,sorry guys drop trip personal commitments
sadness,didnt callback play cried oh guess techie
happiness,awesome wish fly
sadness,kinda wish went fall asleep
relief,nope het lostampfound
worry,rocky cola diner whittier tonight teacher pal mr b great time chatting came
neutral,bed exhausted vegas
love,lol true maybe year loooved siggy dont remember password mod thing cake
worry,ummm sooo yehits really hard concentrate rite wen weird lupus feeling goin thro body
worry,ouch looks painful
neutral,took 4 hour nap work today wont able sleep night bummer
fun,know enjoy watching twitter entertaining comic miss
neutral,loving lil ken absolutely dreading saying goodbye week
sadness,sorry
worry,want sit amp relax little difficult
worry,thought best friend
neutral,hii thatsï½mee woke going school
sadness,fall asleep know feels lol drag hell tonight quite excited
worry,god catch public transport swine flu shit house
worry,dad just said trip uk cancelled da swine flu ooops sorry abang
neutral,asks karma points
love,hahaha alright
hate,wake earlier thought dad wants food 9am no0o0o0o
happiness,la need lemon tree
sadness,um dont think text msgs quotsubject linequot fail
sadness,tummy ache
surprise,math quiz meow allergies meow allergies
love,wants friends
worry,youre far away dont know
neutral,la said quotwipe slate cleanquot jelly
happiness,whos working oh yeah
neutral,unless invite comes beta key im going help
neutral,live
sadness,im sorry andrew wish
sadness,finsh work allowd cauz really dont want lol
sadness,im chasetons dont die heart really sad
happiness,interesting say recap tomorrow sleep work
worry,o feels like hot box matter feels like hot box ice cream isnt working n e
worry,sad better grandma
worry,uuuugh hate
worry,gosh todays weather horriterrible extreme hotness im losing lot water weight doing
worry,taking moment reflecti want annonymity backfb safe say friend
surprise,hey peter thanks follow sydney pastors tweet shame bris pastors twitter
neutral,ï½ im sister house ï½net tonite
neutral,damn hi facebook whats wrong add photos
surprise,aku kbangun gara2 mimpi bad dream
neutral,4 followers follow ill love pouts
worry,aww annoying
neutral,dont wii b likes xbox thats use
sadness,sleep darn frustrating
neutral,didnt tonight
fun,bff rocking hotel california songs stay whats hmmm careless whisper
sadness,just days loneliness creeps slaps face
sadness,rip kelly fucccccck
worry,dont vacations lets
worry,think im ignoredby best friend jakea hate ignored b know things
love,love way didnt end having time week im sooooo sorry week sure
neutral,2nd episode jay leno itll nite twitter
sadness,feeling good
sadness,ok time nodd gonna long day tomorrow saying goodbye car good
neutral,fakin kishajust luck
worry,taking nap workno sleep right nap felt soooo good like bad idea
worry,going home ive seriously
sadness,miss oklahomaaaaa listening citizen cope til pass
neutral,tenseso emotionalso
worry,makes sad
neutral,playing game watching straight people hook leave reason
neutral,yeah work today mind day sun sun sun
worry,feels like im going cough lung
sadness,funny im kinda sad day
neutral,dont think remember
neutral,got jbs live chat vid school saw joe hug tackle nick lol
sadness,jenny fell asleep didnt come
worry,love
sadness,wishes teased movie night
worry,lost 4 followers night likes
sadness,ive missed year forbidden fruit trees garden munch disappointment
worry,want new phone ive seen cellphone commercials
worry,im soo sad just edges pages gonna come cries
worry,time really need shut im going sleep head aches badly really
sadness,love knw gna cut stuff tv
neutral,becuz braggin
